OTU_3424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.703703704	0	0	0	0	0	0	0	0	0	0	0	3.745318352	0	0	0	0	0	8.1799591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Incertae_sedis;o__Incertae_sedis;f__Incertae_sedis;g__Pseudorobillarda;s__Pseudorobillarda_sp
OTU_898	0	0	5.424954792	0	0	0	15.57632399	0	3.184713376	0	0	0	0	7.067137809	11.8694362	0	0	0	0	0	0	0	0	3.401360544	4.056795132	0	0	2.298850575	8.048289738	0	0	4.329004329	0	0	0	3.703703704	2.123142251	0	0	0	25.75107296	0	3.773584906	7.90513834	0	6.230529595	6.872852234	3.745318352	0	2.336448598	0	0	0	0	0	0	0	0	0	0	25.47770701	14.4092219	17.00680272	21.69981917	6.493506494	8.658008658	20.33898305	4.219409283	8.849557522	3.361344538	0	0	0	0	0	0	4.651162791	k__Fungi;NA;NA;NA;NA;NA;NA
OTU_329	0	0	0	0	0	0	0	0	0	0	0	0	1.547987616	0	0	0	0	0	0	0	0	0	0	0	4.056795132	0	0	0	0	0	0	0	0	0	18.43317972	0	0	539.5348837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.184713376	5.763688761	3.401360544	0	0	0	918.6440678	0	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__unidentified;s__uncultured_Dermateaceae
OTU_328	3.64298725	0	27.12477396	20.33271719	7.211538462	10.55408971	21.80685358	0	12.7388535	22.29299363	0	48.48484848	17.02786378	24.73498233	23.7388724	8.316008316	0	8.510638298	54.00696864	2.183406114	2.421307506	0	0	27.21088435	0	0	0	4.597701149	0	0	0	8.658008658	10.86956522	15.09433962	4.608294931	44.44444444	6.369426752	9.302325581	30.50847458	10.48951049	0	0	7.547169811	3.95256917	28.1124498	9.345794393	37.80068729	22.47191011	8.016032064	14.01869159	29.96254682	25.45454545	20.37037037	4.08997955	20.33898305	0	9.090909091	0	0	0	19.10828025	11.52737752	30.6122449	16.27486438	29.22077922	25.97402597	10.16949153	12.65822785	20.64896755	13.44537815	0	2.314814815	9.456264775	0	3.90625	6.451612903	0	k__Fungi;NA;NA;NA;NA;NA;NA
OTU_3420	0	0	0	0	4.807692308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.623188406	0	0	0	0	0	0	0	0	0	0	0	4.016064257	0	0	0	0	0	0	0	0	0	0	0	0	4.662004662	0	0	0	0	0	0	0	0	0	4.219409283	0	0	0	0	0	0	0	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia;s__Preussia_sp
OTU_4338	1.821493625	8.658008658	0	1.848428835	4.807692308	7.915567282	0	0	3.184713376	3.184713376	2.617801047	3.03030303	0	3.533568905	0	2.079002079	0	0	0	0	0	4.739336493	0	10.20408163	6.085192698	6.109979633	21.45922747	0	4.024144869	0	4.264392324	0	0	0	0	0	12.7388535	4.651162791	0	0	0	0	3.773584906	0	0	0	0	0	0	0	3.745318352	3.636363636	1.851851852	8.1799591	3.389830508	0	0	0	0	0	0	2.88184438	0	1.808318264	3.246753247	0	0	0	2.949852507	0	17.35357918	2.314814815	14.18439716	12.72264631	19.53125	0	0	k__Fungi;NA;NA;NA;NA;NA;NA
OTU_2945	0	0	0	0	0	0	0	0	0	0	0	3.03030303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.779661017	0	0	0	0	0	0	0	0	0	6.493506494	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi;NA;NA;NA;NA;NA;NA
OTU_890	0	0	0	0	0	0	0	0	0	0	10.47120419	0	0	0	0	14.55301455	0	0	43.55400697	4.366812227	16.94915254	0	0	0	0	0	2.145922747	4.597701149	0	0	2.132196162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.004008016	0	0	0	46.2962963	4.08997955	10.16949153	30.53435115	27.27272727	25.64102564	5.089058524	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18.60465116	k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;NA;NA
OTU_3947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.742160279	0	0	0	0	3.401360544	0	4.073319756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.851851852	0	0	3.816793893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.90625	0	0	k__Fungi;NA;NA;NA;NA;NA;NA
OTU_321	0	0	0	0	0	0	0	4.081632653	0	0	0	0	0	0	0	0	0	2.127659574	0	0	0	0	0	0	0	0	2.145922747	0	2.012072435	0	0	0	0	0	23.04147465	0	0	827.9069767	3.389830508	199.3006993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.331002331	0	0	76.43312102	2.88184438	3.401360544	0	279.2207792	4.329004329	23.72881356	0	0	1.680672269	0	0	0	0	0	0	0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Rhizopogonaceae;g__Rhizopogon;s__Rhizopogon_mohelnensis
