Taxon	Taxon Level	Function	Type	Likelihood	Notes	Citation/Source
Xanthoriicola physciae	8	Parasite	Lichenicolous fungus	Possible	NA	"Hawksworth DL, Punithalingam E. 1973. Transactions of the British Mycological Society 61: 57-69"
Xenonectriella lutescens	8	Parasite	Lichenicolous fungus	Possible	NA	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Zwackhiomyces arenicola	8	Parasite	Lichenicolous fungus	Possible	NA	"Hawksworth DL, Punithalingam E. 1973. Transactions of the British Mycological Society 61: 57-69"
Zwackhiomyces berengerianus	8	Parasite	Lichenicolous fungus	Possible	NA	"Hawksworth DL, Punithalingam E. 1973. Transactions of the British Mycological Society 61: 57-69"
Zwackhiomyces cladoniae	8	Parasite	Lichenicolous fungus	Possible	NA	"Hawksworth DL, Punithalingam E. 1973. Transactions of the British Mycological Society 61: 57-69"
Zwackhiomyces coepulonus	8	Parasite	Lichenicolous fungus	Possible	NA	"Hawksworth DL, Punithalingam E. 1973. Transactions of the British Mycological Society 61: 57-69"
Zwackhiomyces dispersus	8	Parasite	Lichenicolous fungus	Possible	NA	"Hawksworth DL, Punithalingam E. 1973. Transactions of the British Mycological Society 61: 57-69"
Zwackhiomyces euplocinus	8	Parasite	Lichenicolous fungus	Possible	NA	"Hawksworth DL, Punithalingam E. 1973. Transactions of the British Mycological Society 61: 57-69"
Zwackhiomyces macrosporus	8	Parasite	Lichenicolous fungus	Possible	NA	"Hawksworth DL, Punithalingam E. 1973. Transactions of the British Mycological Society 61: 57-69"
Acremonium fungicola	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Acremonium tulasnei	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Aphanocladium album	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Ascocodinaea polyporicola	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Ascocodinaea stereicola	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Asterophora	7	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Bionectria compactiuscula	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Bionectria ochroleuca	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Boletus parasiticus	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Byssostilbe stilbigera	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Chalciporus	7	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Cladobotryum hughesii	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Cladobotryum polypori	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Cladobotryum uniseptatum	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Claudopus parasiticus	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Clitocybe sclerotoidea	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Clitopilus daamsii	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Clitopilus passeckerianus	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Collybia cirrhata	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Collybia cookei	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Collybia olympiana	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Collybia tuberosa	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Cosmospora	7	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Dendrocollybia racemosa	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Dicranophora	7	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Diplococcium clavariarum	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Elaphocordyceps	7	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Entoloma abortivum	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Entoloma parasiticum	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Entoloma pseudoparasiticum	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Entoloma subdepluens	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Gliocladium penicillioides	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Harziella capitata	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Helminthosphaeria clavariarum	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Helminthosphaeria corticiorum	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Helminthosphaeria hyphodermiae	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Helminthosphaeria odontiae	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Hormiactis alba	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Hydropisphaera fungicola	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Hydropisphaera peziza	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Hyphodiscus hymeniophilus	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Hypocrea ceramica	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Hypocrea chromosperma	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Hypocrea cinereoflava	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Hypocrea estonica	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Hypocrea farinosa	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Hypocrea latizonata	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Hypocrea lixii	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Hypocrea pachybasioides	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Hypocrea pallida	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Hypocrea pulvinata	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Hypocrea scutellaeformis	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Hypocrea strictipilosa	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Hypocrea sulphurea	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Hypocreopsis lichenoides	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Hypocreopsis rhododendri	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Hypomyces	7	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Hypomyces aurantius	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Junghuhnia nitida	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Krieglsteinera lasiosphaeriae	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Lepisticola capitata	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Lyophyllum tricolor	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Melanospora lagenaria	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Melanospora zamiae	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Mycogone	7	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Nectriopsis candicans	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Nectriopsis exigua	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Nectriopsis tubariicola	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Nectriopsis violacea	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Nematogonum ferrugineum	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Neobaria danica	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Neobarya agaricicola	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Neobarya byssicola	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Neobarya lutea	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Neobarya parasitica	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Neobarya xylariicola	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Nitschkia brevispina	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Nitschkia collapsa	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Nitschkia confertula	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Nitschkia grevillei	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Nitschkia parasitans	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Papulaspora candida	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Phaeocalicium polyporaeum	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Polycephalomyces formosus	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Polycephalomyces ramosus	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Polycephalomyces tomentosus	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Polydesmi pruinosa	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Protocrea farinosa	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Psathyrella epimyces	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Pseudoboletus parasiticus	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Rhodocybe olympiana	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Rhodocybe stangliana	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Sepedonium	7	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Sphaeronaemella helvellae	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Sphaerostilbella aureonitens	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Spinellus	7	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Sporophagomyces chrysostomus	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Squamanita	7	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Stibella byssiseda	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Stibella flavipes	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Syzygites	7	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Syzygospora	7	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Tephrocybe tylicolor	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Thuemenella cubispora	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Tremella aurantia	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Tremella encephala	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Tremella exigua	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Tremella foliacea	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Tremella fuciformis	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Tremella globispora	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Tremella indecorata	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Tremella invasa	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Tremella karstenii	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Tremella mesenterica	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Tremella mycetophiloides	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Tremella obscura	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Tremella polyporina	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Tremella simplex	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Tremella subencephala	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Trichoderma chromospermum	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Trichoderma polysporum	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Trichoderma strictiple	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Tricholoma sclerotoideum	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Verticillium fungicola	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Verticillium rexianum	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Verticillium succineum	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Volvariella surrecta	8	Parasite	Mycoparasite	Highly_Probable	NA	List compiled by Nhu Nguyen
Epicoccum purpurascens	8	Parasite|Pathogen	Mycoparasite|Plant Pathogen	Possible	NA	List compiled by Nhu Nguyen; http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Syspastospora parasitica	8	Parasite|Pathogen	Mycoparasite|Plant Pathogen	Possible	NA	List compiled by Nhu Nguyen; http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Trichoderma harzianum	8	Parasite|Pathogen	Mycoparasite|Plant Pathogen	Possible	NA	List compiled by Nhu Nguyen; http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Brauniellula	7	Parasite|Symbiont	Mycoparasite|Ectomycorrhizal	Possible	NA	"Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263 (pro parte)"
Chroogomphus	7	Parasite|Symbiont	Mycoparasite|Ectomycorrhizal	Probable	NA	"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html; List compiled by Nhu Nguyen"
Gomphidius	7	Parasite|Symbiont	Mycoparasite|Ectomycorrhizal	Probable	NA	"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html; List compiled by Nhu Nguyen"
Aspergillus sydowii 	8	Pathogen	Animal Pathogen	Possible	Sea-fan aspergillosis	"Matthew C. Fisher MC, Henk DA, Briggs CJ, Brownstein JS, Madoff LC, McCraw SL, Gurr SJ. 2012. Nature 484: 186_194"
Batrachochytrium dendrobatidis	8	Pathogen	Animal Pathogen	Highly_Probable	Amphibians chytridiomycosis	"Matthew C. Fisher MC, Henk DA, Briggs CJ, Brownstein JS, Madoff LC, McCraw SL, Gurr SJ. 2012. Nature 484: 186_194"
Batrachochytrium salamandrivorans	8	Pathogen	Animal Pathogen	Highly_Probable	Salamander chytridiomycosis	"Martel A, Spitzen-van der Sluijs A, Blooi M, Bert W, Ducatelle R, Fisher MC, Woeltjes A, Bosman W, Chiers K, Bossuyt F, Pasmans F. 2013. Proceedings of the National Academy of Sciences of the United States of America 110: 15325_15329"
Geomyces destructans	8	Pathogen	Animal Pathogen	Highly_Probable	White Nose Syndrome	"Matthew C. Fisher MC, Henk DA, Briggs CJ, Brownstein JS, Madoff LC, McCraw SL, Gurr SJ. 2012. Nature 484: 186_194"
Pseudogymnoascus destructans	8	Pathogen	Animal Pathogen	Highly_Probable	White Nose Syndrome	"Matthew C. Fisher MC, Henk DA, Briggs CJ, Brownstein JS, Madoff LC, McCraw SL, Gurr SJ. 2012. Nature 484: 186_194"
Aspergillus fumigatus	8	Pathogen	Human Pathogen	Highly_Probable	NA	http://www.cdc.gov/
Blastomyces dermatitidis	8	Pathogen	Human Pathogen	Highly_Probable	Facultative parasites causing blastomycosis	"Bowman BH, Taylor JW, White TJ. Molecular Biology and Evolution 9: 893-904; http://www.cdc.gov/"
Candida albicans	8	Pathogen	Human Pathogen	Highly_Probable	NA	http://www.cdc.gov/
Candida vaginitis	8	Pathogen	Human Pathogen	Highly_Probable	NA	http://www.cdc.gov/
Cladosporium	7	Pathogen	Human Pathogen	Possible	NA	http://www.cdc.gov/
Coccidioides	7	Pathogen	Human Pathogen	Highly_Probable	NA	http://www.cdc.gov/
Coccidioides immitis	8	Pathogen	Human Pathogen	Highly_Probable	Facultative parasites causing coccidioidomycosis	"Bowman BH, Taylor JW, White TJ. Molecular Biology and Evolution 9: 893-904"
Coccidioides posadasii	8	Pathogen	Human Pathogen	Highly_Probable	Facultative parasites causing coccidioidomycosis	"Fisher MC, Koenig GL, White TJ, Taylor JW. 2002. Mycologia. 94: 73-84"
Cryptococcus gattii	8	Pathogen	Human Pathogen	Highly_Probable	NA	http://www.cdc.gov/
Cryptococcus neoformans	8	Pathogen	Human Pathogen	Highly_Probable	NA	http://www.cdc.gov/
Epidermophyton	7	Pathogen	Human Pathogen	Highly_Probable	Tinea	http://www.cdc.gov/
Exserohilum	7	Pathogen	Human Pathogen	Possible	NA	http://www.cdc.gov/
Fusarium	7	Pathogen	Human Pathogen	Possible	NA	http://www.cdc.gov/
Histoplasma capsulatum	8	Pathogen	Human Pathogen	Highly_Probable	Facultative parasites causing Histoplasmosis	"Bowman BH, Taylor JW, White TJ. Molecular Biology and Evolution 9: 893-904; http://www.cdc.gov/"
Mucor	7	Pathogen	Human Pathogen	Possible	NA	http://www.cdc.gov/
Pneumocystis carinii	8	Pathogen	Human Pathogen	Highly_Probable	Opportunistic pathogens	"Bowman BH, Taylor JW, White TJ. Molecular Biology and Evolution 9: 893-904"
Sporothrix schenckii	7	Pathogen	Human Pathogen	Highly_Probable	NA	http://www.cdc.gov/
Trichophyton	7	Pathogen	Human Pathogen	Highly_Probable	Tinea	http://www.cdc.gov/
Trichophyton rubrum	8	Pathogen	Human Pathogen	Highly_Probable	Skin Pathogen	"Bowman BH, Taylor JW, White TJ. Molecular Biology and Evolution 9: 893-904"
Acanthorhynchus vaccinii	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Achlya conspicua	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Achlya klebsiana	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Acremonium crotocinigenum	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Acremonium strictum	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Acrocalymma medicaginis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Acrocylindrium oryzae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Acrodontium simplex	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Acrophialophora fusispora	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Acrosporium tingitaninum	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Aecidium campanulastri	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Aecidium cannabis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Aecidium cantensis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Aecidium caspicum	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Aecidium clematidis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Aecidium foeniculi	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Albugo candida	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Albugo cruciferarum	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Albugo ipomoeaepanduratae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Albugo ipomoeae-panduratae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Albugo occidentalis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Albugo tragopogonis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Allantophomopsis cytisporea	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Allantophomopsis lycopodina	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria alternata	8	Pathogen	Plant Pathogen	Possible	Opportunistic pathogen 	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria arachidis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria brassicae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria brassicicola	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria carthami	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria cinerariae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria citri	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria cucumerina	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria dauci	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria dianthi	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria dianthicola	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria euphorbiicola	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria gerberae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria helianthi	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria helianthicola	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria humuli	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria japonica	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria leucanthemi	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria limicola	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria linicola	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria macrospora	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria mali	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria padwickii	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria panax	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria passiflorae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria porri	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria radicina	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria ramulosa	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria raphani	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria saponariae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria senecionis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria solani	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria sonchi	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria tenuis	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria tenuissima	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria tomato	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria triticina	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Alternaria zinniae	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Amphobotrys ricini	8	Pathogen	Plant Pathogen	Possible	NA	http://www.apsnet.org/publications/commonnames/Pages/default.aspx
